english_name,scientific_name,afrikaans_name,photo_name,length_to_measure,bag_limit,size_limit,closed_season,sasaa_heavy_tackle_record,sasaa_light_tackle_record,sasaa_women_record,sasaa_junior_record_u_21,sasaa_junior_u16_record,deep_sea_record_all_tackle,sassi_list,distribution_map,notes,salt_fresh_water,distribution
Natal wrasse,Anchichoerops natalensis,Natalse lipvis,Anchichoerops natalensis.jpg,Fork length,Not allowed,Not allowed,Permanently closed,66 cm,46 cm,0 cm,0 cm,0 cm,10.43 kg,RED,Map28.jpg,"""Colour variable.  Reddish with yellow to orange spots or orange-yellow to brown with darker spots","sometimes with dark bars on the body.  Adults occur in rocky areas.  Feed mainly on molluscs, crustaceans and sea urchins.  Occurs from Port Edward to False Bay""",Salt,From Port Edward to False Bay
Nembwe,Serranochromis jallae,Nembwe,Serranochromis jallae.jpg,Total length,No limit,No limit,Open all year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not listed,NOT LISTED,,,Fresh,From Mozambique to Cape Agulhas
Old Woman,Pomacanthus rhomboides,Ou vrou,Pomacanthus rhomboides.jpg,Total length,10,No limit,Open all year,28 cm,0 cm,0 cm,0 cm,0 cm,3 kg,NOT LISTED,Map19.jpg,"Young occur singly and commonly found in tidal pools.  Adults are commonly seen in small groups in midwater or near the surface.  Attains about 45cm.  Feeds on sponges, sea squirts, coral polyps and plankton.  Occurs from Mozambique to Knysna",Salt,From Mozambique to Port Elizabeth
Oxeye tarpon,Megalops cyprinoides,Osoog-tarpon,Megalops cyprinoides.jpg,Fork length,10,No limit,Open all year,62 cm,62 cm,0 cm,56 cm,45 cm,2.32 kg,NOT LISTED,Map22.jpg,"Adults are generally found out at sea, but young inhabit river mouths, inner bays, and mangrove forests.  Also found in freshwater rivers, lagoons, lakes, and swampy backwaters.  Predaceous, feeding mainly on fish and crustaceans.  It is also a popular angling fish.  Occurs from Mozambique to Port Elizabeth",Salt,From Durban to False Bay
Panga,Pterogymnus laniarius,Panga,Pterogymnus laniarius.jpg,Fork length,10,No limit,Open all year,37 cm,0 cm,0 cm,0 cm,0 cm,Not listed,GREEN,Map10.jpg,"Colour is rosy-red overall with a white belly and a number of blue-green stripes along the flanks.  Maximum length is about 45cm.  Found in coastal waters, over soft bottoms.  Forms large schools.  Feeds on molluscs, crabs, brittle stars and worms.  Occurs from Kosi Bay to False Bay",Salt,From Mozambique to Durban
Patchy triggerfish,Rhinecanthus rectangulus,Gelapte snellervis,Rhinecanthus rectangulus.jpg,Total length,10,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map17.jpg,"Occur in shallow outer reefs subject to surge.  Commonly found over barren rock or the spur-and-groove zone where there is a mixture of bare rock, rubble, and coral.  Feed on algae, detritus, molluscs, crustaceans, worms, echinoderms, fish, sponges and eggs.  Occurs from Mozambique to East London",Salt,From Mozambique to Durban
Piggy,Pomadasys olivaceum,Varkie,Pomadasys olivaceum.jpg,Fork length,10,7.5 cm,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map18.jpg,"Maximum length attained is about 50cm.  Inhabits coastal waters.  Plentiful in tidal estuaries.  Large shoals of juveniles occur around shallow water reefs where they consume shrimps and other small invertebrates, being themselves eaten by larger fish.  Larger specimens are found in deeper water where they spawn throughout the year.  Occurs from Mozambique to False Bay",Salt,From Mozambique to Port Edward
Porcupinefish,Diodon hystrix,Penvis,Diodon hystrix.jpg,Total length,10,No limit,Open all year,38 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map20.jpg,"Occur in lagoon and seaward reefs to at least 50m.  Commonly seen in caves and holes in shallow reefs.  Solitary and nocturnal, feeding on hard shelled invertebrates like sea urchins, gastropods, and hermit crabs.  Generally a common species.  Maximum length attained s about 70cm.  Poisonous to eat.  Occurs from Mozambique to Mossel Bay",Salt,From Durban to Namibia
Potato bass,Epinephelus tukula,Aartappel-baars,Epinephelus tukula.jpg,Total length,Not allowed,Not allowed,Permanently closed,110 cm,75 cm,0 cm,80 cm,64 cm,65.8 kg,RED,Map24.jpg,"Attains a maximum length of about 200cm.  Mainly found in deep reef channels and seamounts in current prone areas.  Juveniles may be found in tide pools.  Feeds on reef fish, skates, crabs, and spiny lobsters.  Considered to be exceedingly territorial and very aggressive towards intruders.  Occurs from Mozambique to Port Edward",Salt,From Kosi Bay to Mossel Bay
Prodigal Son / Cobia,Rachycentron canadum,Kobia,Rachycentron canadum.jpg,Fork length,10,No limit,Open all year,150 cm,126 cm,0 cm,126 cm,101 cm,46.5 kg,NOT LISTED,Map25.jpg,"Found in the tropical and subtropical regions.  Upper half of the body dark brown, almost black with the lower parts cream in colour.  The two stripes along the sides are prominent in young fish, but fades with age.  Occur in a variety of habitats, including mud, sand and gravel bottoms.  Also over coral reefs and in mangroves and occasionally in estuaries.  Prefers clear, warm water often near reefs.  Attains more than 20kg, but usually ranges from 5 to 10kg.  Form small groups and feed primarily on crabs but also on fish and squids.  While they are mostly taken from boats, catches have been made from the shore.  They prefer clear warm waters over reefs or other structures.  Often found singly, but may also be found in small groups.  Usually targeted using lobster or crab as bait.  The flesh is excellent.  Occurs from Mozambique to Transkei",Salt,From Mozambique to False Bay
Puffadder shyshark,Haploblepharus edwardsii,Pofadder skaamhaai,Haploblepharus edwardsii.jpg,Total length,1,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,ORANGE,Map3.jpg,"There are 2 forms of this species, a South-eastern Cape form and a Natal form.  South-eastern Cape form is sandy brown with 7 reddish-brown saddles bordered by black, and numerous small, dark brown and white spots between saddles and white below.  The Natal form's body is cream in colour with darker brown saddles and irregular white spots and white below.  Found in inshore and offshore waters of the continental shelf over sandy and rocky bottoms.  Feeds on bony fish, crustaceans and cephalopods.  Occurs from Durban to False Bay",Salt,From Mozambique to East London
Queen mackerel,Scomberomorus plurilineatus,Gespikkelde katonkel,Scomberomorus plurilineatus.jpg,Fork length,10,No limit,Open all year,107 cm,98 cm,0 cm,97 cm,97 cm,12 kg,GREEN,Map24.jpg,"Queen mackerel can reach weights in excess of 10kg, but typical catches are less than 5kg.  A coastal species that forms large schools.  Feeds mainly on anchovies and other small fish, squids and mantis shrimps.  Taken from boats and occasionally from shore.  It is most abundant during the winter and autumn months.  It can be targeted using live bait or trolling or spinning with small artificial lures.  Rarely extends into Transkei and Eastern Cape waters.  Occurs from Mozambique to Port Edward",Salt,From Mozambique to Port Elizabeth
Rainbow Runner,Elagatis bipinnulata,Reenboog-pylvis,Elagatis bipinnulata.jpg,Fork length,10,No limit,Open all year,30 cm,0 cm,0 cm,0 cm,0 cm,8.6 kg,NOT LISTED,Map42.jpg,"Rainbow runners can grow to more than 10kg but most caught are well below 5kg.  Found in oceanic and coastal waters, generally near the surface over reefs or sometimes far from the coast.  They may form large schools and feed on invertebrates and small fish. They are caught from boats trolling or spinning with small artificial lures.  It is a good food fish and a valued game fish.  Have been reported to be ciguatoxic.  Occurs from Mozambique to Durban",Salt,From Mozambique to Cape Agulhas
Rainbow trout,Oncorhynchus mykiss,Reenboog forel,Oncorhynchus mykiss.jpg,Total length,No limit,No limit,Open all year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not listed,NOT LISTED,,,Fresh,From Mozambique to Port Elizabeth
Red steenbras,Petrus rupestris,Rooi steenbras,Petrus rupestris.jpg,Fork length,1,60 cm,1 October - 30 November,128 cm,0 cm,0 cm,0 cm,0 cm,56.6 kg,ORANGE,Map10.jpg,"Red Steenbras can grow extremely large with individuals of more than 50kg having been recorded.  Usual catches are around 10kg.  They are found near rocky banks in coastal waters including estuaries.  Adults are solitary and territorial.  Feeds on octopus, crabs and fish.  It is a popular angling fish taken from boats using mostly live bait.  The flesh is highly esteemed, but the liver is poisonous due to high vitamin A content which causes hypervitaminosis.  The population of Red Steenbras is severely depleted and should ideally be released.  Occurs from Kosi Bay to False Bay",Salt,From Mozambique to Mossel Bay
Red stumpnose / Miss Lucy,Chrysoblephus gibbiceps,Rooistompneus,Chrysoblephus gibbiceps.jpg,Fork length,1,30 cm,Open all year,68 cm,0 cm,0 cm,0 cm,0 cm,7.55 kg,RED,Map6.jpg,"The Red Stumpnose is endemic to South African waters.  It can grow to more than 5kg but most specimens are smaller.  Occasionally has dark crossbars along the sides – especially in younger fish.  Adult males have a big hump on the forehead.  Best catches are made during the summer months.  Inhabits relatively shallow, calmer coastal waters.  Feeds on crustaceans, molluscs, worms and small fish.  Usually targeted with small soft fish baits, red bait, squid or octopus using light tackle off a boat.  Although a good food fish, their numbers have declined due to overfishing.  Occurs from East London to False Bay",Salt,From Mozambique to False Bay
Red tjor-tjor,Pagellus bellottii,Rooi tjortjor,Pagellus bellottii.jpg,Total length,10,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map19.jpg,"Found on sandy-muddy bottoms down to depths of about 150m.  Grunts when removed from the water.  Attains a maximum length of about 30cm.  Abundant in fairly deep water.  Commonly taken by trawlers but of little commercial value.  Omnivorous species but prefers worms, molluscs, and crustaceans.  Occurs from Mozambique to Knysna",Salt,From Mozambique to East London
Redlip rubberlip,Plectorhinchus sordidus,Rooilip-rubberlip,Plectorhinchus sordidus.jpg,Fork length,10,No limit,Open all year,42 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map25.jpg,"Adults dark grey with orange-red lips and gill edges.  Fins are dark with the membrane at the front of the dorsal fin narrowly black.  Juveniles are colourful.  Found over rocks and corals, as well as in shallow weedy areas.  Solitary or in small groups close to shelter.  Occurs from Mozambique to Transkei",Salt,From Mozambique to Mossel Bay
Remora,Remora remora,Remora,Remora remora.jpg,Fork length,10,No limit,Open all year,78 cm,70 cm,0 cm,66 cm,53 cm,Not listed,NOT LISTED,Map21.jpg,"Usually associated with sharks but also attaches to other large fish, sea turtles and even ships.  Found in gill chambers, fins and body surface of fish.  Sometimes free-swimming.  Feeds on parasitic copepods.  Occurs from Mozambique to Namibia",Salt,From Mozambique to Port Elizabeth
River / Mangrove snapper,Lutjanus argentimaculatus,Rivier-snapper,Lutjanus argentimaculatus.jpg,Fork length,5,40 cm,Open all year,94 cm,76 cm,82 cm,70 cm,56 cm,Not listed,RED,Map22.jpg,"Also known as the River roman, river snapper or mangrove snapper.  Although they can grow to over 10kg, usual catches are 1 to 4kg.  River snappers are often found in rivers and estuaries, but also in groups around coral reefs.  Mature individuals eventually migrate offshore to deeper reef areas, sometimes penetrating to depths in excess of 100m.  Mainly nocturnal, feeding mostly on fish and crustaceans.  They can be targeted using fish baits as well as prawns or even small live bait.  Excellent food fish.  Have been reported to be ciguatoxic.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to False Bay
River bream / Perch,Acanthopagrus vagus,Slimjannie,Acanthopagrus vagus.jpg,Fork length,5,No limit,Open all year,46 cm,0 cm,0 cm,35 cm,28 cm,7.55 kg,RED,Map19.jpg,"Maximum size is about 75cm but most fish are less than 5kg.  Ranges in colour from silvery to almost black.  It readily enters estuaries, lagoons and rivers.  Feeds on invertebrates, including worms, molluscs, crustaceans, echinoderms and small fish.  It is a strong fighter on light tackle and given its preferred habitat amongst submerged structures, it can be a challenge to land this species.  It can be targeted with artificial soft lures and in terms of bait it will take prawns, fish bait or even live bait.  It is a good table fish also.  Occurs from Mozambique to Knysna",Salt,From Mozambique to Port Elizabeth
Roman,Chrysoblephus laticeps,Roman,Chrysoblephus laticeps.jpg,Fork length,2,30 cm,Open all year,51 cm,47 cm,0 cm,41 cm,33 cm,4.25 kg,ORANGE,Map28.jpg,"Roman can grow to more than 3kg, but usual catches are in the 1 to 2kg range.  Usually reddish-orange in colour, but sometimes blue with a white patch on the side.  The white on the gill plates and the blue line between the eyes are distinguishing characteristics.  Occurs over rocky bottoms in deeper water down to 100m but occasionally caught from the shore.  Feeds on molluscs, crustaceans, worms and fish.  Females transform into territorial males with growth with all specimens larger than about 30cm being males.  Very rare on the west coast.  Most abundant during summer in warmer, clear water.  Voracious and takes almost any bait, but can be sluggish to bite.  It is a reasonably good food fish.  Occurs from Port Edward to False Bay",Salt,From Kosi Bay to False Bay
Round ribbontail ray,Taeniura meyeni,Ronde lintstertrog,Taeniura meyeni.jpg,Disc width,1,No limit,Open all year,167 cm,120 cm,0 cm,112 cm,90 cm,Not listed,ORANGE,Map24.jpg,"A large stingray with a circular disc, no thorns, a black and white mottled upper surface, and a deep and prominent ventral skin fold that extends to the tail tip.  Occurs in a wide range of habitats, from shallow lagoons to outer reef slopes.  Feeds on bottom fish, bivalves, crabs and shrimp.  Found singly or in aggregations and usually with kingfish and cobia swimming near them.  The spine of the tail is poisonous and has been responsible for at least one human fatality.  Occurs from Mozambique to Port Edward",Salt,From Mozambique to East London
Russell's snapper,Lutjanus russellii,Russel se snapper,Lutjanus russellii.jpg,Fork length,10,No limit,Open all year,42 cm,42 cm,0 cm,35 cm,28 cm,Not listed,NOT LISTED,Map16.jpg,"Inhabit offshore coral reefs and also inshore rocky and coral reefs.  Juveniles frequent mangrove estuaries and lower reaches of freshwater streams.  Adults on clear outer reefs at moderate depths, usually over 20 m, and is more common at depths of around 50m.  Feed on benthic invertebrates and fish.  Occurs from Mozambique to Durban",Salt,From Mozambique to Port Elizabeth
Saddle grunter,Pomadasys maculatus,Saal-knorder,Pomadasys maculatus.jpg,Fork length,10,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map25.jpg,"This species is characterized by several dark large elongate blotches on the upper back, one forming a saddle on the nape.  Found in coastal waters over sand near reefs.  Feeds on crustaceans and fish.  The flesh is edible but spoils easily.  Occurs from Mozambique to Transkei",Salt,From Mozambique to False Bay
Sailfish,Istiophorus platypterus,Seilvis,Istiophorus platypterus.jpg,Lower bill fork length,0,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,64.9 kg,ORANGE,Map33.jpg,"Sailfish can grow to close to 100kg, although those caught in Southern African waters are typically between 20 and 40kg.  It is an oceanic and epipelagic species usually found above the thermocline.  Sailfish are found in the tropical and sub-tropical waters of the Indian and Pacific oceans.  It is most densely distributed in waters close to the coast and off islands.  They most likely schools by size and undergo spawning migrations in the Pacific.  Sailfish have a diverse diet, feeding on fish, crustaceans and cephalopods. Sailfish are mostly caught by trolling small artificial lures, but also targeted using live bait.  It is advisable to release every sailfish caught as the flesh does not make for good eating.  Occurs from Mozambique to False Bay",Salt,From Mozambique to East London
Sand steenbras,Lithognathus mormyrus,Sandsteenbras,Lithognathus mormyrus.jpg,Fork length,10,No limit,Open all year,34 cm,0 cm,0 cm,32 cm,26 cm,Not listed,NOT LISTED,Map21.jpg,"Found on the shelf, over sandy and muddy bottoms as well as over seagrass-beds and in estuaries.  Gregarious, sometimes forming sizeable schools.  Feeds on worms, molluscs and small crustaceans.  Flesh is excellent, although often too small.  Occurs from Mozambique to Namibia",Salt,From Mozambique to Port Elizabeth
Sandbar shark (Female),Carcharhinus plumbeus,Sandbankhaai,Carcharhinus plumbeus.jpg,Pre-caudal length,1,No limit,Open all year,201 cm,98 cm,0 cm,0 cm,0 cm,Not listed,ORANGE,Map22.jpg,"Found inshore and offshore, on continental and insular shelves.  Common at bays, river mouths and in harbours but avoids sandy beaches and the surf zone.  Coastal-pelagic, but usually bottom associated down to 280m.  Sometimes occurs in oceanic waters.  Known to make extended seasonal migrations in some parts of its range.  Feeds mainly on bony fish, small sharks, cephalopods, and shrimps, rays and gastropods.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Knysna
Sandbar shark (Male),Carcharhinus plumbeus,Sandbankhaai,Carcharhinus plumbeus.jpg,Pre-caudal length,1,No limit,Open all year,201 cm,98 cm,0 cm,0 cm,0 cm,Not listed,ORANGE,Map22.jpg,"Found inshore and offshore, on continental and insular shelves.  Common at bays, river mouths and in harbours but avoids sandy beaches and the surf zone.  Coastal-pelagic, but usually bottom associated down to 280m.  Sometimes occurs in oceanic waters.  Known to make extended seasonal migrations in some parts of its range.  Feeds mainly on bony fish, small sharks, cephalopods, and shrimps, rays and gastropods.  Occurs from Mozambique to Port Elizabeth",Salt,From Kosi Bay to False Bay
Santer,Cheimerius nufar,Santer,Cheimerius nufar.jpg,Fork length,5,30 cm,Open all year,58 cm,46 cm,0 cm,36 cm,26 cm,8 kg,GREEN,Map15.jpg,Found over rocky substrates of coastal waters.  Juveniles stay in sheltered areas of estuaries.  Large specimens caught from the shore only when seas are rough.  Found in loose shoals over deeper reefs.  Local migrations into shallow water occur during stormy weather or following cold water upwelling.  Occurs from Mozambique to Cape Agulhas,Salt,From Mozambique to Knysna
Scalloped hammerheadshark (Female),Sphyrna lewini,Skulprand-hamerkop,Sphyrna lewini.jpg,Pre-caudal length,1,No limit,Open all year,208 cm,118 cm,0 cm,140 cm,112 cm,231 kg,ORANGE,Map24.jpg,"Found worldwide in coastal warm temperate and tropical seas.  Found in inshore and offshore waters to about 275m.  Juveniles occur in coastal areas.  Adults solitary, in pairs, or small schools and young in large schools.  Feeds mainly on fish and cephalopods , lobsters, shrimps, crabs and other sharks and rays.  Often caught by shore anglers.  Occurs from Mozambique to Port Edward",Salt,From Mozambique to Port Elizabeth
Scalloped hammerheadshark (Male),Sphyrna lewini,Skulprand-hamerkop,Sphyrna lewini.jpg,Pre-caudal length,1,No limit,Open all year,208 cm,118 cm,0 cm,140 cm,112 cm,231 kg,ORANGE,Map24.jpg,"Found worldwide in coastal warm temperate and tropical seas.  Found in inshore and offshore waters to about 275m.  Juveniles occur in coastal areas.  Adults solitary, in pairs, or small schools and young in large schools.  Feeds mainly on fish and cephalopods , lobsters, shrimps, crabs and other sharks and rays.  Often caught by shore anglers.  Occurs from Mozambique to Port Edward",Salt,From Mozambique to Durban
Scotsman,Polysteganus praeorbitalis,Skotsman,Polysteganus praeorbitalis.jpg,Fork length,1,40 cm,Open all year,56 cm,0 cm,0 cm,0 cm,0 cm,10.5 kg,RED,Map22.jpg,"Occurs in deep offshore reefs ranging from 20 to 100 m.  Feeds on large crabs, crayfish and a variety of reef fish and squid.  Spawns in winter and attains a maximum length of about 90cm.  Rarely caught by shore anglers.  Flesh is good.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Port Elizabeth
Sevengill cowshark,Notorynchus cepedianus,Koeihaai / Platneus-sewekiefhaai,Notorynchus cepedianus.jpg,Pre-caudal length,1,No limit,Open all year,197 cm,174 cm,122 cm,174 cm,139 cm,Not listed,ORANGE,Map7.jpg,"Found on the continental shelf, often in shallow water.  Occurs close inshore, in bays and estuaries, with larger individuals ranging into deeper waters offshore.  Feeds on anything, including other sharks, rays, bony fish and dolphins.  Aggressive when provoked, and regarded as potentially dangerous to people in open waters.  Can bite back towards its own tail and should be handled with extreme care when caught.  Often caught by anglers from the shore when water temperatures have dropped.  Occurs from East London to Namibia",Salt,From Mozambique to Durban
Seventy-four,Polysteganus undulosus,Vier-en-sewentig,Polysteganus undulosus.jpg,Fork length,Not allowed,Not allowed,Permanently closed,85 cm,40 cm,0 cm,0 cm,0 cm,14.1 kg,RED,Map18.jpg,Overall body colour is pinkish-red and silvery below.  Found over rocky reefs and banks of deep waters down to 200m.  Carnivorous species which feeds mainly on fish and squid.  Due to the depletion of stocks of this species it is now protected and may not be caught.  Occurs from Mozambique to False Bay,Salt,From Mozambique to Durban
Shallow-water sole,Synaptura marginata,Vlakwater-tongvis,Synaptura marginata.jpg,Total length,10,No limit,Open all year,40 cm,37 cm,0 cm,0 cm,0 cm,Not listed,ORANGE,Map19.jpg,"Dark brown, sometimes with darker specks and dorsal and anal fins with pale edges.  Attains about 50cm.  Right pectoral fin is blackish.  Occurs in shallow coastal waters.  Feeds mainly on bottom-living invertebrates.  A species commonly speared on sand banks and shallow areas.  Excellent food fish.  Occurs from Mozambique to Knysna",Salt,From Mozambique to Port Elizabeth
Sharpnose brown stingray,Himantura gerrardi,Skerpneus-pylstert,Himantura gerrardi.jpg,Disc width,1,No limit,Open all year,123 cm,89 cm,87 cm,100 cm,75 cm,Not listed,ORANGE,Map17.jpg,"A plain light angular stingray with a sharply pointed snout.  Long slender tail over twice the body length when intact, no caudal finfolds and no large thorns.  A band of small flat denticles along the midback and usually one medium-sized sting.  Tail with transverse bands of light and dark brown which fade in adults.  Confined to the inner continental shelf, over sandy and mud bottoms.  Recorded from coastal waters and river mouths.  Feeds on crustaceans including shrimp, crabs and small lobsters.  Occurs from Mozambique to East London",Salt,From Mozambique to Port Elizabeth
Sharptooth catfish,Clarias gariepinus,Skerptand / Gewone baber,Clarias gariepinus.jpg,Total length,No limit,No limit,Open all year,42.5 kg,Not applicable,Not applicable,Not applicable,Not applicable,Not listed,NOT LISTED,,"The sharptooth catfish is argubly the most widespread fish in Africa.  It is found throughout the continent.   It can endure extreme conditions, and also have the ability to make overland migrations under damp conditions.  It feeds on almost any food source including small mammals, birds, reptiles as well as fruit.  It is also used in aquaculture, and is a popular angling species and important food fish wherever it occurs.",Fresh,From Mozambique to Port Edward
Shortfin mako shark,Isurus oxyrinchus,Kortvin-mako,Isurus oxyrinchus.jpg,Pre-caudal length,1,No limit,Open all year,160 cm,0 cm,0 cm,0 cm,0 cm,250 kg,ORANGE,Map35.jpg,"Oceanic, but sometimes found close inshore.  Usually in surface waters down to about 150m.  Adults feed on bony fish, other sharks and cephalopods while larger individuals may feed on larger prey such as billfish and small marine mammals.  This species is probably the fastest of all sharks and can leap out of the water when hooked.  Potentially dangerous and responsible for unprovoked attacks on swimmers and boats.  Occurs from Mozambique to Namibia",Salt,From Mozambique to Durban
Shorttail stingray / Black stingray,Dasyatis brevicaudata,Kortstert-pylstert,Dasyatis brevicaudata.jpg,Disc width,1,No limit,Open all year,186 cm,130 cm,0 cm,147 cm,118 cm,69.1 kg,ORANGE,Map18.jpg,"A huge stingray with a bluntly angular snout and pectoral disk with rounded tips.  Tail length less than body length.  Often has two stings.  Colour grey-brown or bluish-grey above, with a row of small pale blue spots at each pectoral fin base.  Found on sandy bottoms, in bays, harbours, and near rocky reefs.  Often in aggregations.  Feeds on fish, bivalves, squid, and crustaceans.  Possibly the largest stingray in the world.  Can inflict a severe and potentially fatal wound.  Occurs from Mozambique to False Bay",Salt,From Mozambique to Port Elizabeth
Silverstripe blaasop,Lagocephalus sceleratus,Silwerstreep blaasop,Lagocephalus sceleratus.jpg,Fork length,No limit,No limit,Open all year,62 cm,0 cm,0 cm,0 cm,0 cm,2.4 kg,NOT LISTED,Map18.jpg,Greenish with brown or black spots above and a silver band from the mouth to the tail fin.  Belly is white.  Silver blotch in front of eye and the pectoral base is black.  Inhabits offshore reefs.  This species is poisonous to eat.  Occurs from Mozambique to False Bay,Salt,From Mozambique to Port Elizabeth
Skipjack tuna / Oceanic Bonito,Katsuwonus pelamis,Pensstreep-tuna,Katsuwonus pelamis.jpg,Fork length,10,No limit,Open all year,60 cm,57 cm,0 cm,58 cm,46 cm,15.9 kg,GREEN,Map35.jpg,"Skipjack can grow to about 10kg, but typically those caught are less than 4kg.  Found in offshore waters, they exhibit a strong tendency to school in surface waters with birds, drifting objects, sharks and whales and may show a characteristic behaviour like jumping when feeding.  Most common from Algoa Bay to Mozambique.  Feed on fish, crustaceans, cephalopods and molluscs and cannibalism is also common.  Commonly targeted for use as bait for larger game fish.  Targeted by trolling small artificial lures.  Flesh is quite tasty, but have been reported to be ciguatoxic.  As with other tuna species, should be bled if intended for the dinner table.  Occurs from Mozambique to Namibia",Salt,From Mozambique to Knysna
Slimy,Leiognathus equulus,Slymvis,Leiognathus equulus.jpg,Fork length,10,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map17.jpg,"Found in river mouths and muddy inshore areas, often in mangrove areas.  Adults are coastal inhabitants found on soft bottoms, usually between depths of 10 to 70 meters.  Juveniles are commonly found in mangrove estuaries and tidal creeks, sometimes entering the lower reaches of freshwater streams.  Adults move in schools.  Frequently ascend into freshwater reaches of rivers.  Feed on small crustaceans, small fish and worms.  Important food fish in the tropics.  Occurs from Mozambique to East London",Salt,From Mozambique to Durban
Slinger,Chrysoblephus puniceus,Slinger,Chrysoblephus puniceus.jpg,Fork length,5,25 cm,Open all year,30 cm,28 cm,0 cm,0 cm,0 cm,4 kg,ORANGE,Map22.jpg,"While Slinger can grow to more than 3kg, usual catches are less than 2kg.  It is an important commercial linefish that has an overall silvery-pink body and a conspicuous blue bar below the eye.  Congregates in large shoals over offshore rocky reefs down to 100m.  Particularly common in the Aliwal Shoal region during the summer months.  It is a bottom feeder on molluscs and crustaceans.  The flesh is regarded as excellent.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Durban
Small kob,Johnius dorsalis,Klein kabeljou,Johnius dorsalis.jpg,Total length,10,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map17.jpg,Body colour is overall silvery with a white belly and distinctly rounded snout.  Maximum length is about 40cm.  Found in shoals in coastal waters and also in estuaries - especially in northern Kwa-Zulu Natal estuaries.  Feeds on invertebrates and small fish.  Occurs from Mozambique to East London,Salt,From Mozambique to Durban
Small mouth yellowfish,Labeobarbus aeneus,Kleinbek geelvis,Labeobarbus aeneus.jpg,Fork length,No limit,No limit,Open all year,9 kg,Not applicable,Not applicable,Not applicable,Not applicable,Not listed,NOT LISTED,,,Fresh,From Kosi Bay to Namibia
Smooth blaasop,Lagocephalus inermis,Gladde blaasop,Lagocephalus inermis.jpg,Total length,No limit,No limit,Open all year,49 cm,0 cm,0 cm,41 cm,33 cm,Not listed,NOT LISTED,Map22.jpg,"Dorsal part of body without prickles, but the belly covered with prickles.  Greenish or dark grey above and silvery-white below.  Distinguished from other blaasop species by the black gill opening.  This species is poisonous to eat.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to East London
Smooth hammerheadshark (Female),Sphyrna zygaena,Gladde hamerkop,Sphyrna zygaena.jpg,Pre-caudal length,1,No limit,Open all year,113 cm,110 cm,0 cm,100 cm,80 cm,Not listed,ORANGE,Map23.jpg,"Occurs inshore and well offshore over continental and insular shelves and is often bottom associated.  Can be distinguished from the Scalloped hammerhead by the rounded tip of the “snout”.  In the Scalloped hammerhead the tip of the “snout” appears indented.  Prefers to feed on small sharks, skates and stingrays, but also preys on bony fish, shrimps, crabs, barnacles and cephalopods.  Larger specimens are strong and tireless fighters when hooked from the shore.  Usually targeted with fish baits using wire traces.  Occurs from Mozambique to Saldanha Bay",Salt,From Durban to Cape Agulhas
Smooth hammerheadshark (Male),Sphyrna zygaena,Gladde hamerkop,Sphyrna zygaena.jpg,Pre-caudal length,1,No limit,Open all year,113 cm,110 cm,0 cm,100 cm,80 cm,Not listed,ORANGE,Map23.jpg,"Occurs inshore and well offshore over continental and insular shelves and is often bottom associated.  Can be distinguished from the Scalloped hammerhead by the rounded tip of the “snout”.  In the Scalloped hammerhead the tip of the “snout” appears indented.  Prefers to feed on small sharks, skates and stingrays, but also preys on bony fish, shrimps, crabs, barnacles and cephalopods.  Larger specimens are strong and tireless fighters when hooked from the shore.  Usually targeted with fish baits using wire traces.  Occurs from Mozambique to Saldanha Bay",Salt,From Mozambique to Port Elizabeth
Smooth houndshark (Female),Mustelus mustelus,Hondhaai,Mustelus mustelus.jpg,Total length,1,No limit,Open all year,201 cm,181 cm,169 cm,189 cm,151 cm,25.41 kg,ORANGE,Map4.jpg,"Found on the continental shelves and uppermost slopes, from the intertidal region to at least 350m.  Sometimes in midwater but prefers to swim near the bottom.  Feeds mainly on crustaceans, but also cephalopods and bony fish.  Regularly caught by both shore and ski boat anglers.  Sexual maturity is reached at a length of 70-80cm.  Occurs from Durban to Namibia",Salt,From Mozambique to Transkei
